date	Tx_Ref	Tn_Ref	Tx_Can	Tn_Can 
22/02/1998	NA	NA	11.2	5.2
23/02/1998	NA	NA	7.5	6
24/02/1998	NA	NA	16	3.5
25/02/1998	NA	NA	18	3
26/02/1998	NA	NA	16	2
27/02/1998	NA	NA	17.8	0
28/02/1998	NA	NA	18.5	1.5
01/03/1998	NA	NA	19.5	1
02/03/1998	NA	NA	7.5	1.5
03/03/1998	NA	NA	14.8	0.6
04/03/1998	NA	NA	10	5.2
05/03/1998	NA	NA	19	3
06/03/1998	NA	NA	17	-1.5
07/03/1998	NA	NA	19.5	2
08/03/1998	NA	NA	22	2.5
09/03/1998	NA	NA	18.5	3.7
10/03/1998	NA	NA	13.5	-1
11/03/1998	NA	NA	8.5	-3
12/03/1998	NA	NA	10.5	-0.5
13/03/1998	NA	NA	14	-3
14/03/1998	NA	NA	18	-2.5
15/03/1998	NA	NA	22.3	0
16/03/1998	NA	NA	21	1
